nazev,mnozstvi,cena za kus bez DPH,cena celkem bez DPH,cena za kus s DPH,cena celkem s DPH,status,error
rohlik,10,2.5,25,3,30.2,OK,
pivo,20,10.9,218,13.2,263.8,OK,
chleb,1,15,15,18.1,18.1,OK,
sunar,1,152,152,167.2,167.2,OK,
tulipan,2,30,60,34.5,69,OK,
jogurt bily,1,12.5,12.5,15.1,15.1,OK,
kecup,1,45,45,54.4,54.4,OK,
pepsi,2,35,70,42.4,84.7,OK,
omalovanky,1.1,25.2,,,,ERROR,"Incorrect type for mnozstvi. Expected <class 'int'>, got <class 'float'>."
jogurt jahodovy,1,12.5,,,,ERROR,Incorect tax rate. Rate zakldni does not exist.
krem na ruce,1,,,,,ERROR,"Incorrect number of keys. Expected 4, got 3 Key missing: cena"
majoneza,1,25,,,,ERROR,Key missing: dph_sazba
